"","date","revenue","fb_paid_total_impressions","fb_paid_spend","google_paid_total_impressions","google_paid_spend","pinterest_paid_total_impressions","pinterest_paid_spend","mountain_paid_total_impressions","mountain_paid_spend","fb_organic_total_impressions","instagram_organic_total_impressions","google_organic_total_impressions"
"202",2022-08-18,36324.26,159482,2368.23,91052,1895.27,33952,328.21,0,0,250651,199656,0
"203",2022-08-19,11080.9,148042,2335.66,93153,1836.03,33028,329.61,0,0,276490,211647,0
"204",2022-08-20,14069.13,148340,2444.57,122988,2110.24,34771,329.26,0,0,278327,207571,0
"205",2022-08-21,33984.85,154365,2459.59,120243,2280.23,32104,329.2,0,0,296586,182879,0
"206",2022-08-22,74368.75,252835,4845.15,134809,2999.22,32700,329.87,0,0,267001,259236,0
"207",2022-08-23,38294.15,166190,3084.49,181977,3536.64,33086,330,0,0,321957,200161,0
"208",2022-08-24,36030.12,175859,3005.61,148040,2908.13,32791,330,0,0,232151,222594,0
"209",2022-08-25,48973.75,174688,3076.11,196828,3743.93,36161,326.89,0,0,242010,233494,0
"210",2022-08-26,40196.1,194288,2995.28,342748,5590.68,30366,330,0,0,248274,485328,0
"211",2022-08-27,29877.72,168265,3135.47,365207,5631.81,31839,325,0,0,271334,438682,0
"212",2022-08-28,56311.13,171057,3111.58,354540,6327.01,33192,325.29,0,0,240508,454428,0
"213",2022-08-29,61541.95,168177,3143.79,331253,5957.94,36881,330,0,0,244597,415893,0
"214",2022-08-30,33779.84,162675,3054.81,117879,2305.07,31301,330,0,0,234148,214342,0
"215",2022-08-31,45854.36,161150,2982.32,198812,4367.89,36074,329.28,0,0,205329,203132,0
"216",2022-09-01,23240.56,138780,2815.56,297768,5062.98,35227,330,0,0,179726,174550,0
"217",2022-09-02,42114.43,139728,2636.55,281585,4862.53,6958,88.42,0,0,159830,187446,0
"218",2022-09-03,51889.23,128230,2741.53,405961,6663.88,9805,88.81,0,0,158506,162744,0
"219",2022-09-04,58538.56,107580,2338.23,447936,7806.93,10522,89.24,0,0,149074,138317,0
"220",2022-09-05,118274.65,86646,1769.89,457778,9460.65,12723,88.24,0,0,131306,123702,0
"221",2022-09-06,39484.68,108533,1959.39,185800,3629.11,11719,87.14,0,0,113886,139211,0
"222",2022-09-07,28158.89,89427,1570.45,245645,4015.59,6933,69.93,0,0,136553,123497,0
"223",2022-09-08,14965.95,80516,1451.59,234596,3878.76,4511,58.86,0,0,115947,101281,0
"224",2022-09-09,16501.65,87331,1452.65,220287,3577.73,3899,59.11,0,0,106395,102251,0
"225",2022-09-10,20795.17,76627,1474.37,224334,3477.84,4030,59.38,0,0,112402,96501,0
"226",2022-09-11,19661.77,69248,1388.29,275392,4522.61,4600,58.84,0,0,103195,103603,0
"227",2022-09-12,34407.09,60360,1221.72,178462,2941.34,3639,39.98,0,0,97020,100874,0
"228",2022-09-13,20660.46,57456,1145.63,126845,2050.45,4009,40.4,0,0,85893,88606,0
"229",2022-09-14,43147.42,72162,1610.52,84236,1478.12,7158,65,0,0,82746,107904,0
"230",2022-09-15,11834.79,24927,458.41,73536,1372.98,7523,64.86,0,0,96325,98167,3465
"231",2022-09-16,13279.07,29737,536.27,77002,1225.78,6545,65,0,0,62059,146288,3390
"232",2022-09-17,5048.36,29582,532.76,81570,1323.33,6556,64.59,0,0,74602,147391,3614
"233",2022-09-18,10569.21,32615,530.66,89793,1415.97,6097,64.99,0,0,97683,154285,3202
"234",2022-09-19,13022.35,22945,430.75,74561,1394.65,8881,100,0,0,119148,138789,3325
"235",2022-09-20,14190.72,20338,407.37,65571,1322.24,11053,99.92,0,0,109549,124481,3334
