"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"58",1.4242875,0.6781099,0.1380639,2.0757625,0.8847723,0.2522626,1.49845,0.532274,0.2781877,1.8655375,0.8844153,0.1827103,1.9126125,0.5191273,0.0739917,1.3718625,0.6605294,0.601081,0.6295415,0.0733146004723098,0.0506704646745992,-0.0440198298590682,0.216866395858133,1.2925535876461,1.47730802696349,1.2925535876461,0.68957537580937,0,21919960.721145,0.334686,65481090.2533626,1e-04,1,0.100273370742798,0.457216501235962,"2_4_1",2,4,1,4,FALSE,TRUE,8,0.315402417089207,1,FALSE
"59",1.9153575,0.5582279,0.1239573,1.919705,0.6313184,0.3072868,1.7257975,0.7068568,0.2736043,2.59264,0.6248672,0.2115142,1.577315,0.6673292,0.0809142,1.8454425,0.8162829,0.7823235,0.6293516,0.0278795300555117,0.00406734739346704,-0.125291426801314,0.222119223075672,1.32389958718802,1.53373097579419,1.32389958718802,0.718801954817003,0,30396360.421693,0.464147,65481090.2533626,1e-04,1,0.106080293655396,0.696573734283447,"2_6_1",2,6,1,6,FALSE,TRUE,10,0.345727171991362,1,FALSE
"60",2.2905975,0.6821482,0.1868703,1.988385,0.8899089,0.1898971,1.89554,0.6308025,0.2063125,1.728525,0.4748796,0.2799883,2.571045,0.561261,0.1898211,1.57326,0.5084747,0.5789845,0.6577646,0.096304987949612,-0.00758289332001771,-0.0198682972060813,0.217414310455875,1.20640870258622,1.38607243198169,1.20640870258622,0.708642362507636,0,19515146.2627256,0.297957,65481090.2533626,1e-04,1,0.107286691665649,0.936949014663696,"2_8_1",2,8,1,8,FALSE,TRUE,6,0.312189316066348,1,FALSE
"61",1.88427,0.5621605,0.1602408,1.630715,0.70446,0.2431498,0.867515,0.819253,0.2749936,1.3688825,0.6737496,0.2708443,1.92815,0.7793376,0.1388364,1.8027075,0.7714682,0.6853255,0.6248243,0.0412636154978748,-0.00222603408247068,-0.0582323969077487,0.216183612075626,1.37516621460875,1.55800693650784,1.37516621460875,0.649729363455537,0,27210041.8282389,0.415482,65481090.2533626,1e-04,1,0.108864784240723,1.5367796421051,"2_13_1",2,13,1,13,FALSE,TRUE,8,0.307309411670535,1,FALSE
"62",1.8950225,0.65945,0.1501302,1.7299575,0.677867,0.2449402,1.0594875,0.7499215,0.1654624,1.5331675,0.5486904,0.1339594,1.387305,0.5305443,0.105072,1.7978125,0.5657389,0.51065,0.653327,0.0149629032170451,-0.0614922009642478,-0.187330562449767,0.227207454931495,1.26099417035094,1.49465053134251,1.26099417035094,0.704862278671055,0,32765491.2546437,0.500331,65481090.2533626,1e-04,1,0.103382110595703,3.36370754241943,"2_28_1",2,28,1,28,FALSE,TRUE,7,0.328952205474443,1,FALSE
"63",1.96848,0.5282476,0.1555011,1.6188975,0.4457127,0.2184547,0.600055,0.8063786,0.3774592,2.0513725,0.7540396,0.2448304,1.6215525,0.6770249,0.141132,1.9179275,0.5757279,0.632856,0.6239585,0.0410404649895029,-0.0123130849078359,-0.0845060645665727,0.216208769499988,1.38206917011016,1.5772293601588,1.38206917011016,0.553739548486615,0,26974791.7983143,0.411889,65481090.2533626,1e-04,1,0.102220058441162,3.48835825920105,"2_29_1",2,29,1,29,FALSE,TRUE,4,0.271424409113509,1,FALSE
"64",0.6375325,0.6448431,0.0948681,1.3576,0.6977274,0.3350167,2.130445,0.5120405,0.2694079,1.3980475,0.6202675,0.3031675,2.5892425,0.7153373,0.1283934,1.181625,0.6193946,0.5031145,0.6516392,-0.017869190613512,-0.0812658582522086,-0.226528138522684,0.23096292357222,1.27268498390677,1.51912179776954,1.27268498390677,0.713795578812697,0,47291476.75116,0.722188,65481090.2533626,1e-04,1,0.10283350944519,3.60750365257263,"2_30_1",2,30,1,30,FALSE,TRUE,9,0.339593179229342,1,FALSE
"65",1.4785975,0.7129594,0.1378188,1.6344325,0.960429,0.2512264,1.5550625,0.6137057,0.1882051,0.6414075,0.6821538,0.2985076,1.72559,0.569703,0.1024014,1.8809675,0.7531527,0.6231425,0.6419099,0.0160668011863647,-0.0410139793200659,-0.182222658644467,0.227609891115875,1.26207718422118,1.49052035862229,1.26207718422118,0.714656446736391,0,33780739.5051338,0.515837,65481090.2533626,1e-04,1,0.109018087387085,3.73362326622009,"2_31_1",2,31,1,31,FALSE,TRUE,8,0.3349748844201,1,FALSE
"66",1.372655,0.735799,0.1243524,1.49764,0.7728276,0.2281552,1.35468,0.6162187,0.2805619,1.0387425,0.8014296,0.2861737,1.5413375,0.4716883,0.1596492,1.4100225,0.6350998,0.55098,0.6516425,0.0407519045390007,-0.0411513244602397,-0.159175290598059,0.224213499179645,1.24885380949505,1.47682282138587,1.24885380949505,0.684876246251557,0,28215599.8464916,0.43084,65481090.2533626,1e-04,1,0.106215476989746,3.97522735595703,"2_33_1",2,33,1,33,FALSE,TRUE,5,0.312208486743523,1,FALSE
"67",2.7977975,0.6601248,0.2301567,2.0757625,0.8847723,0.2522626,2.24881,0.6227637,0.1612879,2.3077525,0.304453323,0.2555842,2.736875,0.6244927,0.1907931,1.6635725,0.5628591,0.6393875,0.6575717,0.174611009667115,0.0627748520865643,0.132390606980968,0.207781328956061,1.16352584682979,1.27842720079158,1.16352584682979,0.719240138526779,0,13186311.5445118,0.201296,65481090.2533626,1e-04,1,0.103682041168213,4.10272741317749,"2_34_1",2,34,1,34,FALSE,TRUE,5,0.302582786881813,1,FALSE
"68",1.9153575,0.5582279,0.1239573,1.919705,0.6313184,0.3072868,0.54258775,0.792905,0.3927076,1.696245,0.8645458,0.2576905,1.48004,0.6245011,0.1283112,1.8311825,0.5803311,0.614427,0.6251915,0.0137852865295571,-0.0305127399444596,-0.115579025522296,0.21925974415205,1.39443744564446,1.59966495520748,1.39443744564446,0.525423453335926,0,32722147.1077442,0.499669,65481090.2533626,1e-04,1,0.114553451538086,4.35719847679138,"2_36_1",2,36,1,36,FALSE,TRUE,3,0.270805157539902,1,FALSE
"69",0.64867225,0.722128,0.0353634,1.0942575,0.6781099,0.2227819,0.66654475,0.5904398,0.3910558,1.005075,0.8178691,0.2514247,2.1125325,0.5998674,0.1663533,2.18056,0.4777601,0.413177,0.6601937,-0.00483797513467654,-0.102550296135565,-0.22286125174337,0.229258371790103,1.26198232915234,1.51775779426706,1.26198232915234,0.539899009747462,0,41123709.4066212,0.627987,65481090.2533626,1e-04,1,0.104554176330566,4.47860813140869,"2_37_1",2,37,1,37,FALSE,TRUE,2,0.25337354956296,1,FALSE
