date,revenue,fb_paid_total_impressions,fb_paid_spend,google_paid_total_impressions,google_paid_spend,pinterest_paid_total_impressions,pinterest_paid_spend,mountain_paid_total_impressions,mountain_paid_spend,fb_organic_total_impressions,instagram_organic_total_impressions,google_organic_total_impressions
2023-06-16,28382.67,168060,2552.72,198451,3723.86,29946,266.00,0,0.00,71174.0,149438,30254.0
2023-06-15,47563.98,178123,2501.08,191787,3884.22,28049,266.00,0,0.00,70886.0,166916,28116.0
2023-06-14,73328.81,150859,2476.60,196959,4059.29,30979,266.00,0,0.00,73499.0,140096,29150.0
2023-06-13,28596.33,153862,2484.69,213926,4071.35,46462,234.31,0,0.00,82575.0,129830,28230.0
2023-06-12,59594.15,162949,2668.34,232146,4346.83,22751,166.00,0,0.00,72708.0,124670,30354.0
2023-06-11,38715.14,169257,2673.76,270469,5009.29,18401,166.00,0,0.00,81389.0,140906,38945.0
2023-06-10,38020.95,158056,2559.94,215966,4549.32,15653,166.00,0,0.00,76792.0,124721,36200.0
2023-06-09,29312.72,149759,2471.26,203386,3419.27,16660,166.00,0,0.00,77500.0,122574,29034.0
2023-06-08,32033.71,139819,2446.45,166295,3693.12,20033,166.00,0,0.00,81240.0,112731,27101.0
2023-06-07,38523.53,149320,2531.16,176698,4303.02,23697,166.00,0,0.00,86117.0,120589,27650.0
2023-06-06,29914.93,139081,2500.79,228570,4208.96,23804,166.00,0,0.00,86951.0,111163,27029.0
2023-06-05,48515.28,154513,2670.42,293400,5423.59,20884,166.00,0,0.00,90789.0,132319,28893.0
2023-06-04,52156.61,153238,2578.98,371040,6352.79,16489,166.00,0,0.00,86767.0,134665,36595.0
2023-06-03,34319.99,131950,2360.28,259407,5017.18,15557,166.00,0,0.00,77471.0,100501,37250.0
2023-06-02,28919.61,128321,2481.28,226087,4561.83,19049,171.46,0,0.00,72152.0,85116,30453.0
2023-06-01,31873.66,123401,2523.95,226003,4508.65,22051,169.82,0,0.00,60861.0,85441,27872.0
2023-05-31,62794.59,122716,2584.95,219933,3967.12,21335,183.53,0,0.00,57164.0,92104,26176.0
2023-05-30,50622.06,122934,2536.93,239858,5320.58,21142,146.00,0,0.00,49383.0,98882,26853.0
2023-05-29,97101.61,120535,2653.98,351423,7664.84,18287,146.00,0,0.00,55702.0,103714,41055.0
2023-05-28,67197.42,116487,2617.63,305668,6612.57,14185,146.00,0,0.00,51600.0,116099,37570.0
2023-05-27,46081.0,106286,2486.67,267133,5162.38,13292,146.00,0,0.00,59214.0,101510,32428.0
2023-05-26,77532.99,121090,2696.69,246009,5215.42,12215,146.00,0,0.00,58661.0,107919,25558.0
2023-05-25,49019.38,115020,2520.80,279153,5594.45,10455,146.00,0,0.00,67533.0,96897,21053.0
2023-05-24,60781.95,131862,2522.55,344191,6861.79,11530,146.00,0,0.00,64557.0,109490,19965.0
2023-05-23,67961.39,131252,2583.10,305439,6256.63,14842,146.00,0,0.00,66230.0,109411,20928.0
2023-05-22,103716.23,123475,2495.28,296397,6307.78,13369,146.00,0,0.00,72330.0,107087,22441.0
2023-05-21,61047.84,119869,2453.90,313018,5724.42,12710,146.00,0,0.00,77903.0,101661,26102.0
2023-05-20,53299.89,134281,2917.19,220874,3245.64,11391,146.00,0,0.00,62122.0,121619,22449.0
2023-05-19,44604.62,103424,2160.45,171820,2936.95,10629,146.00,0,0.00,61105.0,106057,19370.0
