"","fb_organic_total_impressions_alphas","fb_organic_total_impressions_gammas","fb_organic_total_impressions_thetas","fb_paid_spend_alphas","fb_paid_spend_gammas","fb_paid_spend_thetas","google_organic_total_impressions_alphas","google_organic_total_impressions_gammas","google_organic_total_impressions_thetas","google_paid_spend_alphas","google_paid_spend_gammas","google_paid_spend_thetas","instagram_organic_total_impressions_alphas","instagram_organic_total_impressions_gammas","instagram_organic_total_impressions_thetas","mountain_paid_spend_alphas","mountain_paid_spend_gammas","mountain_paid_spend_thetas","pinterest_paid_spend_alphas","pinterest_paid_spend_gammas","pinterest_paid_spend_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"24",1.89651,0.5586451,0.1917972,2.1898475,0.7876529,0.1101852,1.7942575,0.6872274,0.1779396,1.191655,0.7601947,0.1080405,1.7238225,0.5953027,0.2321214,1.95313,0.6713857,0.1781649,1.8238775,0.8272148,0.1858506,0.6046958,0.0537011762686425,-0.726871204278531,-0.807737640133416,0.152808479394286,2.9636183139203,2.45173305072215,2.9636183139203,0.155805216857159,0,819971.276521903,0.570478,1437232.53871745,1e-04,1,0.110845565795898,5.62558197975159,"1_43_1",1,43,1,43,TRUE,TRUE,8,0.314662181572757,6,FALSE
"25",1.5764475,0.6425149,0.2114817,1.00872,0.7922386,0.245322,1.68565,0.4223726,0.2231103,1.25787,0.5971262,0.1735539,1.7790875,0.443969,0.1764252,1.9184975,0.633627,0.1353234,1.8923875,0.5583651,0.1638663,0.691106,0.0883975608598855,0.0851303701346017,-0.90754973175497,0.162503582982252,2.12719041444709,2.39460614852378,2.12719041444709,0.258360798668515,0,652571.985852628,0.453993,1437232.53871745,1e-04,1,0.107577800750732,6.00976371765137,"1_46_1",1,46,1,46,FALSE,TRUE,11,0.323098947867632,2,FALSE
"26",1.8707825,0.5916025,0.2205723,1.9307975,0.573238,0.152385,1.492505,0.6688951,0.1693893,1.058195,0.7022193,0.1688457,1.21926,0.6775429,0.1587852,1.433035,0.8933193,0.126711,1.175545,0.4084412,0.2196813,0.6698555,0.0588440552662118,-0.0194836575067421,-1.00389398790735,0.162424494725526,2.38287347984542,2.48306194389846,2.38287347984542,0.184432704228497,0,921011.554048332,0.640787,1437232.53871745,1e-04,1,0.121278524398804,6.14871048927307,"1_47_1",1,47,1,47,FALSE,TRUE,10,0.326646932648662,1,FALSE
"27",1.8561475,0.5743734,0.1734078,1.770915,0.6434018,0.1529577,1.857645,0.5941883,0.1509729,1.238525,0.7153996,0.1058673,1.793065,0.7592973,0.0875088,1.88859,0.6598959,0.1883364,1.35471,0.6417064,0.2655123,0.721643,0.0859263786477708,0.0389763737423556,-0.92982191307315,0.16574096926616,1.83133403213683,2.34300163501441,1.83133403213683,0.192543585506602,0,725396.461576245,0.504668,1437232.53871745,1e-04,1,0.114311456680298,6.54186987876892,"1_50_1",1,50,1,50,FALSE,TRUE,5,0.29428305444489,1,FALSE
"28",1.579425,0.591109,0.168084,1.6100925,0.5679971,0.2299026,1.307685,0.6846787,0.1192119,1.6017,0.7826759,0.1792359,1.7466225,0.611206,0.2231595,1.8966175,0.6231942,0.2031615,1.17113,0.6414768,0.2856873,0.7347074,0.0852347186900455,-0.0943357011219605,-0.91631354817214,0.166302815890486,1.74726068738046,2.30924067125273,1.74726068738046,0.294720307673682,0,717424.929916868,0.499121,1437232.53871745,1e-04,1,0.106219530105591,6.66541433334351,"1_51_1",1,51,1,51,FALSE,TRUE,6,0.316143839941086,1,FALSE
"29",1.3687775,0.6514119,0.243294,1.4257375,0.8826674,0.178551,2.0013275,0.6940027,0.1746765,0.7671225,0.5124024,0.1500321,1.8089175,0.548115,0.086988,1.9899775,0.9207691,0.0965136,1.7301375,0.5863504,0.1734396,0.6148937,0.0682246657622174,-0.431322896150256,-0.845607122310812,0.157420734545507,2.77131503925684,2.45622496172652,2.77131503925684,0.130567254426093,0,715017.806150967,0.497446,1437232.53871745,1e-04,1,0.121850967407227,7.72119307518005,"1_59_1",1,59,1,59,TRUE,TRUE,5,0.313068061457839,5,FALSE
"30",1.974525,0.64419,0.0402255,2.9711625,0.31600249,0.0566616,1.604975,0.8215385,0.0317682,1.8843,0.971237,0.170835,1.3183275,0.5478686,0.1688559,1.2707325,0.6682994,0.0971754,1.37104,0.36114815,0.2838987,0.7083089,0.0620924164168581,0.0660022999045518,-0.995747993995538,0.166972826459067,1.96583145176134,2.41786109398458,1.96583145176134,0.360455732919713,0,948046.068844832,0.659599,1437232.53871745,1e-04,1,0.111077070236206,7.85023951530457,"1_60_1",1,60,1,60,FALSE,TRUE,10,0.364981330309026,1,FALSE
"31",1.7214,0.6267593,0.1213908,2.0304975,0.4938489,0.1497027,1.5085975,0.8670532,0.0603468,1.543385,0.8267752,0.2162028,1.1001725,0.5304631,0.1514823,1.4141975,0.8032174,0.1588752,1.819545,0.8158321,0.235263,0.7705805,0.118782220315871,-1.16493915693115,-0.684781831248292,0.161254621996979,1.7354226353754,2.05172280372722,1.7354226353754,0.220491446222405,0,503573.180376549,0.350312,1437232.53871745,1e-04,1,0.115600347518921,8.37333941459656,"1_64_1",1,64,1,64,FALSE,TRUE,4,0.233494923611633,1,TRUE
"32",1.6475,0.6710609,0.2346585,1.55046,0.6428194,0.1294275,1.20926,0.9115914,0.152709,1.690205,0.554401,0.0746031,1.809495,0.5050965,0.2195055,0.970685,0.9177255,0.1647582,1.6737925,0.9427869,0.0948576,0.6674339,0.121412006094571,0.0417459684473572,-0.813786945199676,0.156509118881013,2.31396196365514,2.36962509167588,2.31396196365514,0.240801733356789,0,453740.688611534,0.315636,1437232.53871745,1e-04,1,0.107735633850098,8.49905896186829,"1_65_1",1,65,1,65,FALSE,TRUE,12,0.31228401773591,2,FALSE
"33",1.8754725,0.5775199,0.0631122,2.071935,0.691699,0.1356147,1.5822925,0.6332875,0.1400742,2.308925,0.9720147,0.2383071,0.937995,0.6477236,0.2272152,1.2050875,0.4457267,0.2541156,2.142765,0.865838,0.2047599,0.7694333,0.15537564031748,-1.0753961682169,-0.601090254308827,0.15787099544478,1.6995066856954,1.99581111017439,1.6995066856954,0.333366429414474,0,363612.22646092,0.25292,1437232.53871745,1e-04,1,0.114039897918701,8.75570678710938,"1_67_1",1,67,1,67,FALSE,TRUE,5,0.269956224565792,2,FALSE
