"","fb_organic_total_impressions_alphas","fb_organic_total_impressions_gammas","fb_organic_total_impressions_thetas","fb_paid_spend_alphas","fb_paid_spend_gammas","fb_paid_spend_thetas","google_paid_spend_alphas","google_paid_spend_gammas","google_paid_spend_thetas","mountain_paid_spend_alphas","mountain_paid_spend_gammas","mountain_paid_spend_thetas","pinterest_paid_spend_alphas","pinterest_paid_spend_gammas","pinterest_paid_spend_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"21",1.95457,0.31338449,0.0546459,1.9876875,0.9778646,0.152904,1.57155,0.65231,0.214473,0.7359265,0.7353524,0.1861425,2.6359825,0.5234792,0.1108956,0.715781,0.0604423818049353,0.0522525758515078,-0.933737489749285,0.167121492789725,1.97673307774094,2.36464223463689,1.97673307774094,0.201248414006124,0,931700.62065775,0.648225,1437232.53871745,1e-04,1,0.119000196456909,7.3014612197876,"1_57_1",1,57,1,57,FALSE,TRUE,11,0.300754014111511,2,FALSE
"22",2.7042125,0.7395573,0.0059133,1.53482,0.8552253,0.0801876,1.060855,0.5180157,0.2872428,0.54843375,0.6299688,0.158487,1.441005,0.6223416,0.0407835,0.7096538,0.0788625993691795,0.0861332365361477,-0.898961477313891,0.165845589926452,1.94890541102677,2.36380974078175,1.94890541102677,0.145340173050067,0,721710.328764581,0.502103,1437232.53871745,1e-04,1,0.116124153137207,7.94448351860046,"1_62_1",1,62,1,62,FALSE,TRUE,5,0.29246248676813,2,FALSE
"23",2.8989075,0.33814692,0.1719849,1.6756675,0.5589258,0.1628691,0.992175,0.5315411,0.1025865,2.08578,0.6038777,0.1400682,2.17587,0.5989581,0.1372605,0.6158645,0.0475440096176279,-0.500895113642198,-0.873882235869719,0.159572051557619,2.84524914380576,2.48140526359688,2.84524914380576,0.106510970007097,0,975734.459052369,0.678866,1437232.53871745,1e-04,1,0.112569332122803,8.31748604774475,"1_65_1",1,65,1,65,TRUE,TRUE,8,0.324977914700189,2,FALSE
"24",0.500137735,0.5914044,0.1576626,2.2120775,0.3779758,0.0780282,0.789475,0.6799558,0.1946367,0.73799375,0.6060169,0.2502801,2.6860725,0.5771636,0.1897326,0.6788291,0.0877551300150723,0.0632835429382522,-0.884637350077786,0.163478029109712,2.15112186414323,2.3988695162261,2.15112186414323,0.0969339862343595,0,648996.508879755,0.451505,1437232.53871745,1e-04,1,0.104135751724243,8.43763899803162,"1_66_1",1,66,1,66,FALSE,TRUE,3,0.29915329581762,2,FALSE
"25",2.014575,0.629126,0.1131687,1.758035,0.692623,0.107208,1.0359825,0.5767345,0.1858263,1.4724425,0.7248503,0.1344714,2.1063125,0.5414202,0.1670166,0.7115285,0.0694469427554375,0.0706808248206393,-0.907847325079415,0.166435004178134,1.97441227886467,2.34891837604076,1.97441227886467,0.124859033888083,0,812985.587789934,0.565617,1437232.53871745,1e-04,1,0.113522529602051,8.56754088401794,"1_67_1",1,67,1,67,FALSE,TRUE,5,0.285876458483181,2,FALSE
"26",1.125225,0.6619476,0.02629614,1.90292,0.6803079,0.0936057,1.4167075,0.5493904,0.1835412,1.4057525,0.6776528,0.167388,2.489105,0.7950379,0.1537389,0.705935,0.0693212336326323,0.082806437298872,-0.924924963584945,0.166827994725409,1.96338001896568,2.38175838706655,1.96338001896568,0.162622899972576,0,816949.078742983,0.568375,1437232.53871745,1e-04,1,0.103560209274292,8.68675541877747,"1_68_1",1,68,1,68,FALSE,TRUE,7,0.299962823713545,2,FALSE
"27",1.18331,0.8047077,0.2355789,1.598765,0.34656512,0.1663164,0.75735,0.5228394,0.1706958,2.812685,0.721435,0.0464223,2.812815,0.8475428,0.2137155,0.6424118,0.0968477128306208,-0.210647196436634,-0.774741278101961,0.157423631437043,2.61649643487771,2.38167680568773,2.61649643487771,0.0519607833444663,0,518470.043037644,0.360678,1437232.53871745,1e-04,1,0.105097532272339,8.8077278137207,"1_69_1",1,69,1,69,TRUE,TRUE,1,0.292670681727351,2,FALSE
"28",1.173775,0.7879028,0.2357553,1.574715,0.4001203,0.1694001,0.9735075,0.4330091,0.2052777,2.068935,0.6163993,0.1480278,1.946235,0.5742012,0.205992,0.6423041,0.099158449481727,-0.210796710487734,-0.765251957774476,0.157222116402822,2.61665799759608,2.37530100715648,2.61665799759608,0.11114486992571,0,524962.810305909,0.365196,1437232.53871745,1e-04,1,0.112013339996338,8.93600034713745,"1_70_1",1,70,1,70,TRUE,TRUE,5,0.292819542125857,NA,NA
"29",1.9891075,0.6546669,0.1200318,1.803195,0.6902451,0.0977838,1.05598,0.6211425,0.1147452,1.691835,0.5922752,0.1138665,1.6305175,0.5030742,0.1772985,0.7065128,0.0743402069895142,0.0847782449269572,-0.913255789107109,0.166377550811721,1.96126841962084,2.37452813019886,1.96126841962084,0.156589222646568,0,777821.461564356,0.541148,1437232.53871745,1e-04,1,0.109897375106812,9.06284403800964,"1_71_1",1,71,1,71,FALSE,TRUE,6,0.297023854036362,2,FALSE
"30",1.2313,0.8026672,0.2224161,1.5820775,0.4084398,0.1620126,0.9219475,0.6205307,0.0925662,1.4413475,0.676705,0.0771261,2.5526325,0.774761,0.1953618,0.6513638,0.0993274248348607,-0.121534770848126,-0.763826896324452,0.157764581289273,2.55111653318761,2.35109388942637,2.55111653318761,0.082533596333087,0,516380.51589996,0.359224,1437232.53871745,1e-04,1,0.118797063827515,9.19824719429016,"1_72_1",1,72,1,72,TRUE,TRUE,3,0.28383795900462,2,FALSE
